Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202507,01,001,3,6,Autauga County                                              ,21,21,9731274,0,0,0,0,0,0,0,0,0,21,21,9731274,0,0,0,0,0,0,0,0,0
202507,01,003,3,6,Baldwin County                                              ,287,287,89666133,0,0,0,0,0,0,1,18,2174979,192,192,64063430,0,0,0,0,0,0,0,0,0
202507,01,005,3,6,Barbour County                                              ,1,1,278750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,007,3,6,Bibb County                                                 ,1,1,175000,0,0,0,0,0,0,0,0,0,1,1,175000,0,0,0,0,0,0,0,0,0
202507,01,009,3,6,Blount County                                               ,3,3,683333,0,0,0,0,0,0,0,0,0,1,1,250000,0,0,0,0,0,0,0,0,0
202507,01,011,3,6,Bullock County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,013,3,6,Butler County                                               ,1,1,294467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,015,3,6,Calhoun County                                              ,22,22,3147309,0,0,0,0,0,0,0,0,0,20,20,2666440,0,0,0,0,0,0,0,0,0
202507,01,017,3,6,Chambers County                                             ,3,3,455002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,019,3,6,Cherokee County                                             ,1,1,375000,0,0,0,0,0,0,0,0,0,1,1,375000,0,0,0,0,0,0,0,0,0
202507,01,021,3,6,Chilton County                                              ,6,6,1128000,0,0,0,0,0,0,0,0,0,6,6,1128000,0,0,0,0,0,0,0,0,0
202507,01,023,3,6,Choctaw County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,025,3,6,Clarke County                                               ,1,1,286000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,027,3,6,Clay County                                                 ,1,1,150477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,029,3,6,Cleburne County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,031,3,6,Coffee County                                               ,11,11,2609083,0,0,0,0,0,0,0,0,0,10,10,2235416,0,0,0,0,0,0,0,0,0
202507,01,033,3,6,Colbert County                                              ,9,9,1053952,0,0,0,0,0,0,0,0,0,6,6,577820,0,0,0,0,0,0,0,0,0
202507,01,035,3,6,Conecuh County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,037,3,6,Coosa County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,039,3,6,Covington County                                            ,1,1,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,041,3,6,Crenshaw County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,01,043,3,6,Cullman County                                              ,11,11,1698646,0,0,0,0,0,0,0,0,0,10,10,1539994,0,0,0,0,0,0,0,0,0
202507,01,045,3,6,Dale County                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
